username,location,description
@whufc_indonesia,,ini adalah akun twitter resmi dari klub #bpl west ham united  juara 3 kali piala fa   piala eropa winner's cup 1965  berdiri tahun 1895  #whufc
@Alfan65731072,merauke  papua  indonesia,âœœ
@IneFebriyanti,jakarta,inefebriyanti35@gmail com
@PSNicholas,jakarta  indonesia,  gamer    sman 13 jakarta  
@girikuncoro,jakarta,kubernetes and cloud native  @cloudnativefdn ambassador  @googledevexpert  software engineer at @gojektech  ex-@vmware  tweets are my own 
@aytingnew92,,happily ever after â¤ï¸ bilqis khumairah razak
@PKSejahtera,tb  simatupang no  82  jakarta,official account of indonesiaâ€™s prosperous justice party  e: humas@pks id tel: 021 7884 2116
@handokosilaen,jakarta  indonesia,
@IMA_FTUI,universitas indonesia  depok,ikatan mahasiswa arsitektur ftui #proaktif progresif   dinamis   kolaboratif anggi  line: anggisdw   asha  081911001630  imaftui2021@gmail com
@heyyyyyjudeeeee,youniverse,ðÿ†” sfx make up artistðÿ’€ beauty b vlogger ðÿž¥ ig: @heyyyyyjudeeeee part of @rumahhantujkt
@Hilalpratamaa,,
@ana_khoz,tuban  east java indonesia,ayo selalu terapkan protokol kesehatan 5m   nahdhiyyin forever   ig https:  t co faijcb1tvi
@laymonage,indonesia,i build up and break down stuff in the open  i made https:  t co yzubmeazsm django's cross-db jsonfield and more  he him
@indtravel,indonesia,official account of the ministry of tourism and creative economy indonesia
@isdiena,jakarta,
@JoeArifiando92,jakarta selatan  dki jakarta,contact me : 08588 5050 248 isi twitter gw adalah sisi bangsat2nya gua kalo mau lihat gw pencitraan follow ig aja wkwk main twitter buat cari hiburan
@ntykertawijaya,indonesia,sing for you
@adangdaradjatun,jakarta,mantan wakapolri ketua pabbsi remaja kebayoran 60an perhimpunan donor darah indonesia  pddi  bammus relawan oranye dan anggota dpr ri fpks
@trisakti_,indonesia,instagram: https:  t co mj27micfut facebook: https:  t co wxd4otxco9 youtube: https:  t co irvxwexxxc
@jeng_rianda,bogor,penikmat kuliner dan sedang berusaha melewati batas ketakutan diri
@dailysocial,indonesia,connecting society with technology  hit us on instagram as well @dailysocial id
@Kepolisian_RI,indonesia,akun resmi kepolisian republik indonesia  sebuah wahana komunikasi dan berbagai informasi dari markas besar kepolisian republik indonesia 
@saktiakbari,jakarta,meme account 
@krlmania,jabodetabekserp   indonesia,komunitas pengguna setia krl   klik https:  t co h5m1h7mekmâ€¦   call centre  wa : 0815-86133880   ig : https:  t co s7cg4xbcez
@UnivPancasila,jakarta selatan  indonesia,akun resmi universitas pancasila   official universitas pancasila twitter account   e-mail: humas@univpancasila ac id   contact center  021  7270086 ; 78880305
@ezayayang, 6 262724 106 788479,hanya orang biasa yg sangat cinta negaranya
@slankdotcom,jakarta  id,the official twitter of slank band  slank are: #bim2x  drum    @fishgod  vox    @topengmonyet  bass    @ridhohafiedz  guitar    @abdeenegara  guitar 
@aminullah_lubis,jakarta capital region  indone,duelist   trainer   tamer   planeswalker   competitive tcg player for firebird id
@Afri86571772,kota sorong papua barat,silahkan klik link dibawah ini ðÿ‘‡ðÿ‘‡ðÿ‘‡ðÿ‘‡ðÿ‘‡ https:  t co 1tr2ojye6i
@EzraRizkiatama,mataram  ntb,i should be over all the butterflies but i'm into you @anganrindu ~ å¤œç©º
@RiaRicis,indonesia,
@amaliasainsiana,,kompas maritim 
@FHadifa,,
@psisfcofficial,semarang  jawa tengah,official twitter psis semarang football club ðÿ’™ðÿ‡®ðÿ‡©   ig: @psisfcofficial   fp: psis fc   yoh iso yoh! ðÿ’ªðÿ»ðÿ’™
@Oikcahyarmdln,salatiga  indonesia,ol  https:  t co gcovr2rius   law student sahid jakarta university   cahyarmdlnoik@yahoo co id
@imamfus,sestri levante,97's
@SBYudhoyono,,akun resmi presiden ke-6 ri  2004-2014  susilo bambang yudhoyono  dikelola oleh staf pribadi  twit dari susilo bambang yudhoyono ditandai *sby*
@NetflixID,indonesia,@iqbaale: #alidanraturatuqueens  aku: mimin   pakde pakde pamulang
@bagofair,indonesia,ðÿ‡®ðÿ‡© design lad  sometimes retweet design stuff but mostly lame jokes  âš ï¸warning: i excessively retweet cats kpop and genshin impact
@kempanrb,jakarta,twitter resmi kementerian pendayagunaan aparatur negara dan reformasi birokrasi  pengelola: biro hukum komunikasi dan informasi publik  instagram: @kemenpanrb
@crazydhika,,  football freak  mc  stand up comedian  member of @improvindo ig : @crazydhika cp: dhikadjamil13@gmail com  087722444013
@PTJASAMARGA,jakarta capital region,official twitter lalu lintas jasa marga â€¢ perintis penyelenggaraan jalan tol di indonesia sejak 01 maret 1978 â€¢ call center 14080 â€¢ korporat @official jsmr
@IrfanBachdim10,,ã‚¤ãƒ«ãƒ•ã‚¡ãƒ³ ãƒãƒ•ãƒ‡ã‚£ãƒ - husband of a beautiful blogger @jenniferbachdim - father of 2 beautiful kids kiyomi sue   kenji zizou!! instagram: ibachdim
@bima7900,tel aviv,i love u u never know
@didietmaulana,jakarta capital region,entrepreneur mentor #jadiginibelajarbersama creative director of @ikat ind my 1st book #kisahkebaya
@hizkiamanuelv,,
@achmad_tahir,sul bar indonesia,civil enginering hasanuddin university
@nblabil,,ig: @abil  line: nblabil
@enonigma,kappa world,hello there!
@JVCSound,jakarta  indonesia,akun resmi jvc sound indonesiaðÿ¤ðÿœždistributor resmi jvc ðÿš¢ðÿš› produk earphone   headphoneðÿž¶ðÿž§original dan bergaransiðÿ”¥ðÿ”§
@PSSleman,sleman  indonesia,akun twitter resmi ps sleman   super elang jawa   liga 1 indonesia   homeground: stadion maguwoharjo
@gstkdnf,,
@dyaseptiana,bekasi  jawa barat,
@Praz_Teguh,jakarta capital region,ig: praz teguh    cp: 082283026624 niki    email: prazteguh1@yahoo com   
@dprddkijakarta,jakarta pusat  dki jakarta,dewan perwakilan rakyat daerah provinsi dki jakarta
@ichfaris,,full-stack developer  hobi bikin-bikin dan bongkar-bongkar  ðÿž“ fasilkom ui
@andyx_89,jakarta manado,fiscus   accounting div pkn stan   futsal guitar and dog lover  
@ImamArifMunawar,banda aceh,https:  t co l3wfcqwiji   economic of management   journalist  entrepeneur   football player  
@fleurishana,fleurishana1@gmail com,bunga yang senang menyenandungkan melodi! ðÿœ¸ sing   voice acting ðÿœ¸ https:  t co qlfwvx0cb0 ðÿœ¸ icon   header by @calicovan ðÿœ»
@SMN_Channel,jakarta,talent management    mnc group    instagram : starmedianusantara    youtube : https:  t co 7ztge50bqg    p:  021  536 61736 ii e: info smn@mncgroup
@omeshomesh,üt:  6 26485 106 789127,berusaha menjadi anak suami ayah btari 'embun' anandayu dan btara â€˜langitâ€™ anandayu yang baik   sama pengen jadi manusia yang baik!
@dewinaisyah,jakarta  indonesia,phd fellowship at institute of health informatics ucl   seorang bunda pembelajar terus merenda ikhtiar mengejar cinta sang maha kekal
@aline_adita,bali   jakarta   port moresby,mc  emcee    host   actress
@Albert_Bangun,medan,@seginsukaa â¤
@jalghifari,bekasi,teen   asbi 1 intake   leader   fttm itb 2015   motivator   athlete   drummer   pps betako merpati putih   young entrepreneur   u 23 peak of happiness  
@jaring_,,jaringan indonesia untuk jurnalisme investigasi - indonesia network for investigative journalism   member of global investigative journalism network  gijn 
@LFCIndonesia,indonesia,akun twitter resmi liverpool fc dalam bahasa indonesia  ðÿ”´ hentikan kebencian lawan laporkan  #redtogether âœš https:  t co cqitcknipo global: @lfc
@Gio_Gilberth,manokwari,pencinta manga dan anime one piece fans arsenal  gooners 
@bps_statistics,jakarta indonesia,penyedia data statistik berkualitas untuk indonesia maju  kami ada untuk #mencatatindonesia 
@umusicindonesia,jakarta indonesia,the official twitter of universal music indonesia  get the latest music update!
@Hijrahheiji,piyoh dan daerah di sekitarnya,wirausaha muda mandiri 2013 red leader @theleader id kakang malang 2006 raka jatim 2007 agam aceh 2008 kapal pemuda 2012 owner @misterpiyoh   @piyohdesign
@jzchristian4,,
@frfusch21,wherever you want,battalion17   airplane14   #potterhead   physicsholic   part-time writer   officially vice president
@JerikhoChicco,indonesia,star of bethlehem
@TIA_Games,indonesia,tech in asia games adalah portal game terbesar di indonesia  temukan game gratis   info terbaru dunia gaming ios android pc   konsol next-gen di sini 
@persib,bandung,#ngahiji menang bersama! download #persibapp ðÿ“² https:  t co 1c09pcurc4
@felixherfiandi8,everywhere,
@newsuleprikitiw,di bumi indonesia tercinta,sule channel á´µá´ºá´µ áµ€á´¬á´¸á´·sá´´á´¼áµ‚ á´ºá´±áµ€â€¢ 8 pm cnl net sehat salamet barokah amin
@amilianarp,n17,positivity all around ðÿ™†â€â™€ï¸ mainly tweet about football movies and tv series âœœ also tweeting from @thefplaf for anything fpl related ðÿ¤ª #coys ðÿ’™
@badmintontalk,visit our website!,official account of https:  t co lg9xkgkxwv  badminton   multi-sport events of indonesia  english chinese speaking  âœ‰ï¸admin@badmintalk com ig: badmintalk com
@indrajegel_,indonesia,cp : 08112642109  widy 
@hack87,aceh  indonesia,#socmed interest digital media   part of @samanui @acehblogger - event planner at @amediadigital   director of @ilacrew ~ ceo @genpinews
@dewi_sanca,bekasi,dewi sanca dengan ciri golar goyank ular dgn julukan ratu ular dan medusa indonesia cp aditya 082299116083 atau pin 212624f1
@AlfisahrF,,
@KoseBAA,bagansiapiapi,ayo gabung di komunitas sepeda bagansiapiapi jadwal gowes senin rabu jumat jam 16:00 wib @depan kantor bupati rokan hilir
@PiirmaPratiwi,kadek rudiana 07 10 11,saya wanita kece berkumis    masalah?
@_pamflet,mimosa iv  blok e17  jak sel,membantu anak muda melakukan sesuatu bagi kemanusiaan   e-mail: halo at pamflet dot or dot id
@kemenkopmk,jakarta,akun resmi kementerian koordinator bidang pembangunan manusia dan kebudayaan
@okto_kondorura,samarinda,magister administrasi publik  m ap 
@quraishihab,jakarta  indonesia,akun twitter resmi m  quraish shihab  akun dikelola oleh admin http:  t co zon4ixm2xc 
@lalepsi,indonesia,@ficzze    @maliqmusic   @marchmarchmarch guitar player    @organicrecords    @laleilmanino    cp: aji +6281911163373
@mwauium,depok dan jakarta,akun resmi majelis wali amanat universitas indonesia unsur mahasiswa 2021 beserta badan kelengkapannya  line: @mwauium narahubung: paskalis  paskalsmavo 
@dandidaro,,moon-faced boy
@jenniferbachdim,bali  indonesia,health   fitness   lifestyle mommy of two adorable little kids loving wife   youtube creator ! jennifer bachdim@web de    youtube: jennifer bachdim
@Huang_Li_Ni,,ig : nathania010398
@dhaanhanda,pangkalpinang,allah swto: â™štk binabangsa palembang sdn68 pkp smpn5 pkp  sman 3 pkp ubb fppb agroteknologi barakallah mamabapakdinianinâ™¥â™š! â˜…suksesâ˜…
@amnestyindo,jakarta  indonesia,perubahan dimulai dari kamu  tunjukkan aksi nyata melalui â¬‡ï¸
@fransisca_nilam,camp half blood,i'm just me   #genestrixâ²âºâ¹â²   7ã˜'15
@bahlillahadalia,,akun resmi menteri investasi kepala badan koordinasi penanaman modal  bkpm    investasi untuk kesejahteraan rakyat membuka jalan untuk semua
@akhirul_rmd,,#ggmu
@ivandercs,üt:  6 225393 106 852461,ad maiorem dei gloriam
@podcastretropus,bekasi  jawa barat,podcast sepakbolanya mas @rndy11   mas @ariyadifebri yang tayang setiap senin dan jumat  untuk masalah duniawi: podcastretropus@gmail com
@kicauanmuti,,aku punya sesuatu yang lezat
@aanpapeda,,an indonesian benci cabe activist   manokwari-indonesia  pedagang di ig: https:  t co 4hancvfrs2
@jessciacia,indonesia,
@thomasdwip_,jakarta capital region,
@canfelli,,i code for fun
@AlfiRizkyR,ihtfp,writer? sketcher? musician? archer? student? my definition is subject to changes without notice    id en ðÿ†—  æ—¥æœ¬èªžã¯å°‘ã—ã ã‘åˆ†ã‹ã‚šã¾ã™ã€‚
@azkiarifqi,west java  indonesia,
@JestinaSteffi,,eat sleep repeat
@amandatydes,,cuma kentang biasa â™‘ â€¢ doyan jalan2 dandan makan â€¢ tukang jualan di @guiyomisijang â€¢ ðÿ²ðÿ¥ðÿ·ðÿ¨
@jofilneue,pengen bawa kamu ke paris,jonathan filbert â€¢ #democratizetech â€¢ future polyglot ðÿ‡®ðÿ‡©ðÿ‡«ðÿ‡·ðÿ‡¬ðÿ‡§ â€¢ creative coding advocate ðÿž¨ðÿ’» â€¢ tweets   rants are my own â€¢ he him
@ayyarenita02,,
@gigsplay,indonesia,get latest music news today    https:  t co 5gqjig47mn   https:  t co oiwelpta1h   https:  t co ti5wld6rf9 contact us gigsplay@gmail com
@fitricarlina,cibubur,@fitricarlinafc aktivkan rbt abg tua fitri carlina: telkomselâ»fclaa kirim 1212 indosat â»set fitca kirim 808 xl â»fitca kirim 1818
@nngantukbgt,,
@boywilliam,indonesia,a vj and an actor  well at least i hope i am  instagram: boywilliam17 #bw17
@Edhie_Baskoro,griya 24  indonesia,eby ibas partai demokrat ~â¤ï¸airlangga satriadhi yudhoyono ~ pancasakti maharajasa yudhoyono ~ gayatri idalia yudhoyono â¤ï¸~ there's no black   white in the blue
@Metro_TV,üt: 6 186977  106 759125,the official twitter page of metro tv   a part of media group news
@pengasuhhoshi,,pls be happyðÿ’™
@Happy_Salma,jakarta indonesia,teater film membaca titimangsa@gmail com
@humasjabar,bandung,akun twitter resmi biro humas   keprotokolan pemerintah daerah provinsi jawa barat   jln  diponegoro no  22 bandung   humas@jabarprov go id    022  4231737
@aldii_fahreza,,
@Persitajuara,tangerang  banten,akun resmi persita tangerang
@Princey_Pj,jakarta capital region  indone,â¤7icons instagram @pj7icons official
@gitaputrid,she her,the quicker they are whipped the quicker we can go home - patton  tweets are from the better version of me and do not represent views of any institution 
@ramasulanjana,,a person who loves to talk nonsense and ramble about everything but mostly on football and film 
@abifajri1453,kota sukabumi  jawa barat,bismillah paytren 5 17
@OfficialRoma_ID,,akun twitter resmi as roma berbahasa indonesia  ikuti juga @officialasroma @asromaen @asromaespanol @asroma brasil @asromaarabic @romadutch @asromapidgin
@TonightShow_NET,dki jakarta  indonesia,official tonight show net account   sabtu   minggu pkl 21 30 wib   ig: @tonightshow net   tiktok: @tonightshownet
@afdhal_10,depok  jawa barat,a great father
@laveliaclara,jakarta capital region,
@catperku,catperku@gmail com,#geek #traveler   #author #thetravelernotes   travel #blogger   https:  t co rf9ndbjn6j   orang #indonesia
@aries8apr,,ikom'20
@Ipeeinurface,lapar,i dont need ur cmiiw
@indahindriana,p b,
@Fsetu,üt:  6 174422 106 812473,plt kepala biro humas kementerian komunikasi dan informatika ri website: https:  t co phnclokf9j youtube: fsetutv ig: @fsetu
@otomotifweekly,jakarta  indonesia,official twitter account of tabloid otomotif   https:  t co 4ggo2ot0qf  kompas gramedia group  yang awam jadi paham yang profesional semakin spesial 
@elonmusk,,
@Iqbal_Maulana99,east java  indonesia,beswan djarum 36   owner iq store gaming
@Randisaputra194,kota kendari,kendari sulawesi tenggara
@arthur_phs,indonesia,intj  @act10n17  @steiitb13  potensio '13  future electrical engineer  dct 
@MuhHereckb,ambon maluku indonesia,#dkd maluku 2014-2019#alumni kpn 2015 mari membentuk sejarah masa depan#fb hendra nurdin#wa 081247095091#ig panduindonesia  berasal dari bumi para raja maluku  
@FISIP_UI,depok  indonesia,official account of faculty of social and political sciences @univ indonesia   email us : fisip@ui ac id #sahabatjingga #fisipui #satufisip #fisipjuara
